INFO flwr 2023-04-08 21:51:22,172 | grpc.py:50 | Opened insecure gRPC connection (no certificates were passed)
DEBUG flwr 2023-04-08 21:51:22,173 | connection.py:38 | ChannelConnectivity.IDLE
DEBUG flwr 2023-04-08 21:51:22,175 | connection.py:38 | ChannelConnectivity.CONNECTING
DEBUG flwr 2023-04-08 21:51:22,178 | connection.py:38 | ChannelConnectivity.READY
mps
Model (simple CNN adapted from 'PyTorch: A 60 Minute Blitz')
Load CIFAR-10 (training and test set).
Files already downloaded and verified
Files already downloaded and verified
Train the model on the training set.
------------------------------------
nowtrain 1.8779195
------------------------------------

  0%|          | 0/391 [00:00<?, ?it/s]
  0%|          | 1/391 [00:00<01:04,  6.02it/s]
  1%|▏         | 5/391 [00:00<00:18, 20.85it/s]
  3%|▎         | 13/391 [00:00<00:08, 43.01it/s]
  5%|▌         | 21/391 [00:00<00:06, 55.20it/s]
  7%|▋         | 29/391 [00:00<00:05, 62.34it/s]
  9%|▉         | 37/391 [00:00<00:05, 67.27it/s]
 12%|█▏        | 45/391 [00:00<00:04, 70.94it/s]
 14%|█▎        | 53/391 [00:00<00:04, 73.17it/s]
 16%|█▌        | 61/391 [00:00<00:04, 74.51it/s]
 18%|█▊        | 69/391 [00:01<00:04, 75.68it/s]
 20%|█▉        | 77/391 [00:01<00:04, 76.59it/s]
 22%|██▏       | 85/391 [00:01<00:03, 76.83it/s]
 24%|██▍       | 93/391 [00:01<00:03, 77.16it/s]
 26%|██▌       | 101/391 [00:01<00:03, 77.70it/s]
 28%|██▊       | 109/391 [00:01<00:03, 77.74it/s]
 30%|██▉       | 117/391 [00:01<00:03, 77.80it/s]
 32%|███▏      | 125/391 [00:01<00:03, 77.73it/s]
 34%|███▍      | 133/391 [00:01<00:03, 77.79it/s]
 36%|███▌      | 141/391 [00:02<00:03, 77.94it/s]
 38%|███▊      | 149/391 [00:02<00:03, 77.75it/s]
 40%|████      | 157/391 [00:02<00:02, 78.05it/s]
 42%|████▏     | 165/391 [00:02<00:02, 78.13it/s]
 44%|████▍     | 173/391 [00:02<00:02, 77.77it/s]
 46%|████▋     | 181/391 [00:02<00:02, 78.13it/s]
 48%|████▊     | 189/391 [00:02<00:02, 78.10it/s]
 50%|█████     | 197/391 [00:02<00:02, 78.33it/s]
 52%|█████▏    | 205/391 [00:02<00:02, 78.33it/s]
 54%|█████▍    | 213/391 [00:02<00:02, 78.35it/s]
 57%|█████▋    | 221/391 [00:03<00:02, 78.21it/s]
 59%|█████▊    | 229/391 [00:03<00:02, 78.50it/s]
 61%|██████    | 237/391 [00:03<00:01, 78.65it/s]
 63%|██████▎   | 245/391 [00:03<00:01, 78.79it/s]
 65%|██████▍   | 253/391 [00:03<00:01, 78.91it/s]
 67%|██████▋   | 261/391 [00:03<00:01, 78.38it/s]
 69%|██████▉   | 269/391 [00:03<00:01, 78.09it/s]
 71%|███████   | 277/391 [00:03<00:01, 78.13it/s]
 73%|███████▎  | 285/391 [00:03<00:01, 78.08it/s]
 75%|███████▍  | 293/391 [00:03<00:01, 78.05it/s]
 77%|███████▋  | 301/391 [00:04<00:01, 77.75it/s]
 79%|███████▉  | 309/391 [00:04<00:01, 78.33it/s]
 81%|████████  | 317/391 [00:04<00:00, 78.49it/s]
 83%|████████▎ | 325/391 [00:04<00:00, 78.70it/s]
 85%|████████▌ | 333/391 [00:04<00:00, 78.31it/s]
 87%|████████▋ | 341/391 [00:04<00:00, 78.29it/s]
 89%|████████▉ | 349/391 [00:04<00:00, 78.48it/s]
 91%|█████████▏| 357/391 [00:04<00:00, 78.66it/s]
 93%|█████████▎| 365/391 [00:04<00:00, 78.53it/s]
 95%|█████████▌| 373/391 [00:04<00:00, 78.19it/s]
 97%|█████████▋| 381/391 [00:05<00:00, 78.31it/s]
 99%|█████████▉| 389/391 [00:05<00:00, 78.55it/s]
100%|██████████| 391/391 [00:05<00:00, 74.16it/s]
Validate the model on the test set.
now 7.169922291
nowtest 7.169925416

  0%|          | 0/10000 [00:00<?, ?it/s]
  0%|          | 29/10000 [00:00<00:34, 289.62it/s]
  1%|          | 76/10000 [00:00<00:25, 394.41it/s]
  1%|▏         | 125/10000 [00:00<00:22, 435.48it/s]
  2%|▏         | 175/10000 [00:00<00:21, 458.62it/s]
  2%|▏         | 225/10000 [00:00<00:20, 472.24it/s]
  3%|▎         | 273/10000 [00:00<00:20, 471.16it/s]
  3%|▎         | 321/10000 [00:00<00:20, 468.15it/s]
  4%|▎         | 371/10000 [00:00<00:20, 476.08it/s]
  4%|▍         | 421/10000 [00:00<00:19, 482.43it/s]
  5%|▍         | 471/10000 [00:01<00:19, 487.68it/s]
  5%|▌         | 520/10000 [00:01<00:19, 480.05it/s]
  6%|▌         | 569/10000 [00:01<00:19, 475.70it/s]
  6%|▌         | 617/10000 [00:01<00:19, 476.18it/s]
  7%|▋         | 668/10000 [00:01<00:19, 484.46it/s]
  7%|▋         | 718/10000 [00:01<00:18, 488.97it/s]
  8%|▊         | 767/10000 [00:01<00:18, 487.66it/s]
  8%|▊         | 817/10000 [00:01<00:18, 491.21it/s]
  9%|▊         | 869/10000 [00:01<00:18, 498.50it/s]
  9%|▉         | 920/10000 [00:01<00:18, 501.75it/s]
 10%|▉         | 971/10000 [00:02<00:17, 502.90it/s]
 10%|█         | 1022/10000 [00:02<00:19, 460.67it/s]
 11%|█         | 1070/10000 [00:02<00:19, 465.31it/s]
 11%|█         | 1120/10000 [00:02<00:18, 474.88it/s]
 12%|█▏        | 1169/10000 [00:02<00:18, 478.27it/s]
 12%|█▏        | 1219/10000 [00:02<00:18, 484.43it/s]
 13%|█▎        | 1268/10000 [00:02<00:18, 481.96it/s]
 13%|█▎        | 1318/10000 [00:02<00:17, 484.75it/s]
 14%|█▎        | 1368/10000 [00:02<00:17, 487.63it/s]
 14%|█▍        | 1419/10000 [00:02<00:17, 491.96it/s]
 15%|█▍        | 1469/10000 [00:03<00:17, 491.09it/s]
 15%|█▌        | 1519/10000 [00:03<00:17, 491.54it/s]
 16%|█▌        | 1569/10000 [00:03<00:17, 493.95it/s]
 16%|█▌        | 1620/10000 [00:03<00:16, 496.00it/s]
 17%|█▋        | 1670/10000 [00:03<00:17, 483.08it/s]
 17%|█▋        | 1719/10000 [00:03<00:17, 480.96it/s]
 18%|█▊        | 1769/10000 [00:03<00:16, 484.56it/s]
 18%|█▊        | 1818/10000 [00:03<00:17, 469.52it/s]
 19%|█▊        | 1867/10000 [00:03<00:17, 473.64it/s]
 19%|█▉        | 1918/10000 [00:04<00:16, 481.58it/s]
 20%|█▉        | 1969/10000 [00:04<00:16, 487.41it/s]
 20%|██        | 2018/10000 [00:04<00:16, 484.31it/s]
 21%|██        | 2068/10000 [00:04<00:16, 487.48it/s]
 21%|██        | 2119/10000 [00:04<00:15, 492.61it/s]
 22%|██▏       | 2170/10000 [00:04<00:15, 494.74it/s]
 22%|██▏       | 2220/10000 [00:04<00:15, 493.44it/s]
 23%|██▎       | 2270/10000 [00:04<00:15, 490.38it/s]
 23%|██▎       | 2320/10000 [00:04<00:15, 488.12it/s]
 24%|██▎       | 2370/10000 [00:04<00:15, 491.19it/s]
 24%|██▍       | 2421/10000 [00:05<00:15, 494.88it/s]
 25%|██▍       | 2472/10000 [00:05<00:15, 497.21it/s]
 25%|██▌       | 2523/10000 [00:05<00:15, 498.13it/s]
 26%|██▌       | 2573/10000 [00:05<00:14, 497.27it/s]
 26%|██▌       | 2623/10000 [00:05<00:14, 495.76it/s]
 27%|██▋       | 2674/10000 [00:05<00:14, 497.31it/s]
 27%|██▋       | 2724/10000 [00:05<00:14, 494.82it/s]
 28%|██▊       | 2774/10000 [00:05<00:14, 494.43it/s]
 28%|██▊       | 2824/10000 [00:05<00:14, 487.72it/s]
 29%|██▊       | 2874/10000 [00:05<00:14, 488.75it/s]
 29%|██▉       | 2925/10000 [00:06<00:14, 492.97it/s]
 30%|██▉       | 2975/10000 [00:06<00:14, 494.87it/s]
 30%|███       | 3026/10000 [00:06<00:13, 498.22it/s]
 31%|███       | 3076/10000 [00:06<00:13, 498.17it/s]
 31%|███▏      | 3127/10000 [00:06<00:13, 499.38it/s]
 32%|███▏      | 3178/10000 [00:06<00:13, 501.11it/s]
 32%|███▏      | 3229/10000 [00:06<00:13, 502.18it/s]
 33%|███▎      | 3280/10000 [00:06<00:13, 501.36it/s]
 33%|███▎      | 3331/10000 [00:06<00:13, 500.84it/s]
 34%|███▍      | 3382/10000 [00:06<00:13, 488.30it/s]
 34%|███▍      | 3431/10000 [00:07<00:13, 486.97it/s]
 35%|███▍      | 3480/10000 [00:07<00:13, 483.67it/s]
 35%|███▌      | 3530/10000 [00:07<00:13, 488.03it/s]
 36%|███▌      | 3580/10000 [00:07<00:13, 490.70it/s]
 36%|███▋      | 3631/10000 [00:07<00:12, 493.54it/s]
 37%|███▋      | 3682/10000 [00:07<00:12, 495.45it/s]
 37%|███▋      | 3732/10000 [00:07<00:12, 493.72it/s]
 38%|███▊      | 3783/10000 [00:07<00:12, 496.26it/s]
 38%|███▊      | 3833/10000 [00:07<00:12, 497.24it/s]
 39%|███▉      | 3883/10000 [00:07<00:12, 497.37it/s]
 39%|███▉      | 3934/10000 [00:08<00:12, 500.01it/s]
 40%|███▉      | 3985/10000 [00:08<00:11, 501.57it/s]
 40%|████      | 4036/10000 [00:08<00:11, 500.70it/s]
 41%|████      | 4087/10000 [00:08<00:11, 500.92it/s]
 41%|████▏     | 4138/10000 [00:08<00:11, 500.34it/s]
 42%|████▏     | 4189/10000 [00:08<00:11, 496.39it/s]
 42%|████▏     | 4239/10000 [00:08<00:11, 495.71it/s]
 43%|████▎     | 4290/10000 [00:08<00:11, 498.24it/s]
 43%|████▎     | 4340/10000 [00:08<00:11, 492.32it/s]
 44%|████▍     | 4390/10000 [00:08<00:11, 490.94it/s]
 44%|████▍     | 4440/10000 [00:09<00:11, 492.30it/s]
 45%|████▍     | 4491/10000 [00:09<00:11, 496.02it/s]
 45%|████▌     | 4541/10000 [00:09<00:11, 495.71it/s]
 46%|████▌     | 4591/10000 [00:09<00:10, 496.30it/s]
 46%|████▋     | 4641/10000 [00:09<00:10, 492.78it/s]
 47%|████▋     | 4691/10000 [00:09<00:10, 494.66it/s]
 47%|████▋     | 4741/10000 [00:09<00:10, 488.95it/s]
 48%|████▊     | 4792/10000 [00:09<00:10, 494.09it/s]
 48%|████▊     | 4843/10000 [00:09<00:10, 498.02it/s]
 49%|████▉     | 4893/10000 [00:10<00:10, 498.31it/s]
 49%|████▉     | 4943/10000 [00:10<00:10, 498.23it/s]
 50%|████▉     | 4994/10000 [00:10<00:10, 499.26it/s]
 50%|█████     | 5045/10000 [00:10<00:09, 499.65it/s]
 51%|█████     | 5096/10000 [00:10<00:09, 500.87it/s]
 51%|█████▏    | 5147/10000 [00:10<00:09, 501.42it/s]
 52%|█████▏    | 5198/10000 [00:10<00:09, 501.77it/s]
 52%|█████▏    | 5249/10000 [00:10<00:09, 500.84it/s]
 53%|█████▎    | 5301/10000 [00:10<00:09, 503.70it/s]
 54%|█████▎    | 5352/10000 [00:10<00:09, 504.96it/s]
 54%|█████▍    | 5403/10000 [00:11<00:09, 504.05it/s]
