INFO flower 2022-12-22 15:28:54,220 | grpc.py:50 | Opened insecure gRPC connection (no certificates were passed)
DEBUG flower 2022-12-22 15:28:54,220 | connection.py:38 | ChannelConnectivity.IDLE
DEBUG flower 2022-12-22 15:28:54,221 | connection.py:38 | ChannelConnectivity.CONNECTING
DEBUG flower 2022-12-22 15:28:54,243 | connection.py:38 | ChannelConnectivity.READY
This node is stay
Model (simple CNN adapted from 'PyTorch: A 60 Minute Blitz')
Load CIFAR-10 (training and test set).
Files already downloaded and verified
Files already downloaded and verified
Train the model on the training set.
now 2.048699416
interval 0

  0%|          | 0/391 [00:00<?, ?it/s]
  0%|          | 1/391 [00:00<04:03,  1.60it/s]
  1%|          | 2/391 [00:01<04:31,  1.43it/s]
  1%|          | 3/391 [00:02<04:32,  1.42it/s]
  1%|          | 4/391 [00:02<04:06,  1.57it/s]
  1%|▏         | 5/391 [00:03<03:39,  1.75it/s]
  2%|▏         | 6/391 [00:03<03:33,  1.80it/s]
  2%|▏         | 7/391 [00:04<03:27,  1.85it/s]
  2%|▏         | 8/391 [00:04<02:59,  2.13it/s]
  2%|▏         | 9/391 [00:05<03:15,  1.96it/s]
  3%|▎         | 10/391 [00:05<03:20,  1.90it/s]
  3%|▎         | 11/391 [00:06<03:22,  1.87it/s]
  3%|▎         | 12/391 [00:06<03:37,  1.74it/s]
  3%|▎         | 13/391 [00:07<03:27,  1.82it/s]
  4%|▎         | 14/391 [00:07<03:26,  1.82it/s]
  4%|▍         | 15/391 [00:08<03:07,  2.00it/s]
  4%|▍         | 16/391 [00:08<03:02,  2.06it/s]
  4%|▍         | 17/391 [00:09<02:56,  2.12it/s]
  5%|▍         | 18/391 [00:09<03:00,  2.07it/s]
  5%|▍         | 19/391 [00:10<03:03,  2.03it/s]
  5%|▌         | 20/391 [00:10<03:03,  2.02it/s]
  5%|▌         | 21/391 [00:11<02:51,  2.16it/s]
  6%|▌         | 22/391 [00:11<02:42,  2.27it/s]
  6%|▌         | 23/391 [00:11<02:56,  2.09it/s]
  6%|▌         | 24/391 [00:12<02:56,  2.08it/s]
  6%|▋         | 25/391 [00:12<02:58,  2.05it/s]
  7%|▋         | 26/391 [00:13<03:16,  1.86it/s]
  7%|▋         | 27/391 [00:14<03:05,  1.96it/s]
  7%|▋         | 28/391 [00:14<02:54,  2.08it/s]
  7%|▋         | 29/391 [00:15<03:06,  1.94it/s]
  8%|▊         | 30/391 [00:15<03:14,  1.86it/s]
  8%|▊         | 31/391 [00:16<03:01,  1.98it/s]
  8%|▊         | 32/391 [00:16<02:45,  2.16it/s]
  8%|▊         | 33/391 [00:16<02:44,  2.17it/s]
  9%|▊         | 34/391 [00:17<02:32,  2.34it/s]
  9%|▉         | 35/391 [00:17<02:42,  2.19it/s]
  9%|▉         | 36/391 [00:18<02:47,  2.12it/s]
  9%|▉         | 37/391 [00:18<03:01,  1.95it/s]
 10%|▉         | 38/391 [00:19<02:55,  2.01it/s]
 10%|▉         | 39/391 [00:19<02:58,  1.97it/s]
 10%|█         | 40/391 [00:20<03:06,  1.88it/s]
 10%|█         | 41/391 [00:21<03:07,  1.86it/s]
 11%|█         | 42/391 [00:21<03:16,  1.77it/s]
 11%|█         | 43/391 [00:22<03:15,  1.78it/s]
 11%|█▏        | 44/391 [00:22<03:15,  1.77it/s]
 12%|█▏        | 45/391 [00:23<03:15,  1.77it/s]
 12%|█▏        | 46/391 [00:23<03:04,  1.87it/s]
 12%|█▏        | 47/391 [00:24<03:11,  1.79it/s]
 12%|█▏        | 48/391 [00:24<03:05,  1.85it/s]
 13%|█▎        | 49/391 [00:25<02:58,  1.91it/s]
 13%|█▎        | 50/391 [00:25<02:41,  2.11it/s]
 13%|█▎        | 51/391 [00:26<02:29,  2.28it/s]
 13%|█▎        | 52/391 [00:26<02:34,  2.19it/s]
 14%|█▎        | 53/391 [00:27<02:49,  1.99it/s]
 14%|█▍        | 54/391 [00:27<02:48,  2.00it/s]
 14%|█▍        | 55/391 [00:28<02:45,  2.03it/s]
 14%|█▍        | 56/391 [00:28<02:37,  2.13it/s]
 15%|█▍        | 57/391 [00:29<02:43,  2.04it/s]
 15%|█▍        | 58/391 [00:29<02:42,  2.05it/s]
 15%|█▌        | 59/391 [00:30<02:45,  2.01it/s]
 15%|█▌        | 60/391 [00:30<02:45,  2.00it/s]
 16%|█▌        | 61/391 [00:31<02:38,  2.08it/s]
 16%|█▌        | 62/391 [00:31<02:51,  1.92it/s]
 16%|█▌        | 63/391 [00:32<02:44,  1.99it/s]
 16%|█▋        | 64/391 [00:32<02:39,  2.04it/s]
 17%|█▋        | 65/391 [00:33<02:57,  1.83it/s]
 17%|█▋        | 66/391 [00:33<02:51,  1.90it/s]
 17%|█▋        | 67/391 [00:34<02:47,  1.94it/s]
 17%|█▋        | 68/391 [00:34<02:44,  1.96it/s]
 18%|█▊        | 69/391 [00:35<02:49,  1.89it/s]
